Date,Strike,Type,T,Mid,S,F,r,iv
2023-09-15,2200,Put,0.085,0.10000000335276105,4458.15,4453.382227994656,0.0,0.7421940526426595
2023-09-15,2250,Put,0.085,0.10000000335276105,4458.15,4453.382227994656,0.0,0.7196361623292676
2023-09-15,2300,Put,0.085,0.12500000186264504,4458.15,4453.382227994656,0.0,0.7097380688391494
2023-09-15,2350,Put,0.085,0.12500000186264504,4458.15,4453.382227994656,0.0,0.6877835217320221
2023-09-15,2400,Put,0.085,0.15000000223517398,4458.15,4453.382227994656,0.0,0.6762402603833926
2023-09-15,2450,Put,0.085,0.15000000223517398,4458.15,4453.382227994656,0.0,0.654662361291202
2023-09-15,2500,Put,0.085,0.175000000745058,4458.15,4453.382227994656,0.0,0.6418209166989608
2023-09-15,2525,Put,0.085,0.2000000067055225,4458.15,4453.382227994656,0.0,0.6384418908277418
2023-09-15,2550,Put,0.085,0.20000000298023202,4458.15,4453.382227994656,0.0,0.627999035622011
2023-09-15,2575,Put,0.085,0.20000000298023202,4458.15,4453.382227994656,0.0,0.6177235344011506
2023-09-15,2600,Put,0.085,0.20000000298023202,4458.15,4453.382227994656,0.0,0.6074336015495724
2023-09-15,2625,Put,0.085,0.2250000089406965,4458.15,4453.382227994656,0.0,0.6034047154548449
2023-09-15,2650,Put,0.085,0.2500000074505805,4458.15,4453.382227994656,0.0,0.5986468182152896
2023-09-15,2675,Put,0.085,0.25,4458.15,4453.382227994656,0.0,0.5885027114044454
2023-09-15,2700,Put,0.085,0.274999998509884,4458.15,4453.382227994656,0.0,0.5833669822456604
2023-09-15,2725,Put,0.085,0.275000013411045,4458.15,4453.382227994656,0.0,0.5734474321309114
2023-09-15,2750,Put,0.085,0.299999997019768,4458.15,4453.382227994656,0.0,0.5677773616396318
2023-09-15,2775,Put,0.085,0.3249999955296515,4458.15,4453.382227994656,0.0,0.5619270285547266
2023-09-15,2800,Put,0.085,0.3500000089406965,4458.15,4453.382227994656,0.0,0.555803275094285
